//ホワイト時に収録されていた情報を残すため、灰色表示の部分を削除しないでください。
*太鼓の達人 ホワイトVer. の収録曲(V10.04) [#title]
-旧曲 ''459'' ＋ 新曲 ''57'' ＋ 隠し曲・ドンチャレ解禁曲・ごほうびショップ解禁曲 ''52'' − サヨナラ曲 ''89'' ＝ SIZE(20){''425''} 曲((段位道場のみプレイ可能の曲除く))
--裏譜面 ''79'' ＋ 双打 ''3'' -サヨナラ曲''18'' ＝ ''64'' 曲?

|>|>|>|>|>|>|>|CENTER:74|c
|>|>|>|>|>|>|>|''ジャンルごとの曲数''(ジャンル名を選択するとそのジャンルに移動します)|h
|BGCOLOR(cyan):~[[&color(black){%%%J-POP%%%};>#jpop]]|BGCOLOR(orange):~[[&color(black){%%%アニメ%%%};>#anime]]|BGCOLOR(darkgray):~[[&color(black){%%%ボーカロイド&#8482;曲%%%};>#vocalo]]|BGCOLOR(magenta):~[[&color(black){%%%どうよう%%%};>#doyo]]|BGCOLOR(lime):~[[&color(black){%%%バラエティ%%%};>#variety]]|BGCOLOR(gold):~[[&color(black){%%%クラシック%%%};>#classic]]|BGCOLOR(darkorchid):~[[&color(black){%%%ゲーム&br;ミュージック%%%};>#game]]|BGCOLOR(orangered):~[[&color(black){%%%ナムコ&br;オリジナル%%%};>#namco]]|
|''20'' 曲&br;(約4.9%)|''26'' 曲&br;(約6.4%)|''25'' 曲&br;(約5.9%)|''2'' 曲&br;(約0.5%)|''22'' 曲&br;(約5.2%)|''21'' 曲&br;(約4.9%)|''95'' 曲&br;(約22.4%)|''212'' 曲&br;(約49.9%)|

-[[システム詳細>ACの歴史(新筐体)#white]]
-[[アップデート履歴(ホワイト)>太鼓の達人 新筐体 アップデート履歴/ホワイト]]
-[[ドンチャレのお題(ホワイト)>過去のドンチャレのお題/ホワイト]]
-[[段位道場(ホワイト)>過去の段位道場#white]]
-[[ごほうび一覧>過去の新筐体のごほうび一覧#newacwhite]]
-[[段位・称号の一覧]]
--[[段位・称号の一覧/称号対象曲]]
-[[現収録曲>太鼓の達人 新筐体の収録曲]]

-[[太鼓の達人 ドンだー！世界一決定戦2016]]
----
**収録曲リスト [#list]
-凡例~
''新''・・・新曲~
''隠''・・・隠し曲(どんポイントや特定の称号で解禁)~
''ド''・・・ドンチャレ解禁曲(翌月1日にデフォルト化)~
''シ''・・・ごほうびショップ解禁曲~
''イベント先行''・・・イベント・キャンペーン先行解禁曲~
''日付''・・・ホワイトVer. 稼働中の追加曲(移行時除く)~
''日付サ''・・・サヨナラ曲~
''日付限定''・・・期間限定曲~
''背景が灰色(COLOR(#ccc){■})の曲・・・''現在はプレイできない楽曲~
''(S)''・・・パパママサポート対応譜面

// サヨナラになった曲は、大型アップデートが行われるまで表から削除するのはおやめください。
// 新バージョンに移行した際、前バージョンのページが作成されてから表の整理(曲順整理・サヨナラ曲削除など)を行ってください。

|>|CENTER:1||LEFT:60|>|>|>|>|CENTER:42|c
|>|>|>|>|>|>|>|>|BGCOLOR(darkorchid):''ゲームミュージック''&aname(game);|
|''16/6/16''|''新''|''Diver''&br;　　SIZE(11){「トレジャーガウスト ガウストダイバー」より}|136|[[★×3>難易度表/かんたん/Diver]]|[[★×5>難易度表/ふつう/Diver]]|[[★×6>難易度表/むずかしい/Diver]]|[[★×9>難易度表/おに/Diver]]|-|
|''16/4/27''|''新''|''キミとボクのミライ''&br;　　SIZE(11){「グランブルーファンタジー」より}|178|[[★×3>難易度表/かんたん/キミとボクのミライ]]|[[★×4>難易度表/ふつう/キミとボクのミライ]]|[[★×5>難易度表/むずかしい/キミとボクのミライ]]|[[★×6>難易度表/おに/キミとボクのミライ]]|-|
|''16/4/27''|''新''|''ソラのミチシルベ''&br;　　SIZE(11){「グランブルーファンタジー」より}|160|[[★×4>難易度表/かんたん/ソラのミチシルベ]]|[[★×4>難易度表/ふつう/ソラのミチシルベ]]|[[★×5>難易度表/むずかしい/ソラのミチシルベ]]|[[★×7>難易度表/おに/ソラのミチシルベ]]|-|
|''16/4/27''|''新''|''Holding Hands''&br;　　SIZE(11){「パズル＆ドラゴンズ」より}|146|[[★×3>難易度表/かんたん/Holding Hands]]|[[★×5>難易度表/ふつう/Holding Hands]]|[[★×6>難易度表/むずかしい/Holding Hands]]|[[★×7>難易度表/おに/Holding Hands]]|-|
|''16/4/27''|''新''|''Unite The Force''&br;　　SIZE(11){「パズル＆ドラゴンズ」より}|156|[[★×2>難易度表/かんたん/Unite The Force]]|[[★×4>難易度表/ふつう/Unite The Force]]|[[★×7>難易度表/むずかしい/Unite The Force]]|[[★×8>難易度表/おに/Unite The Force]]|-|
|''16/4/27''||''Walking Through The Towers''&br;　　SIZE(11){「パズル＆ドラゴンズ」より}|150|[[★×3>難易度表/かんたん/Walking Through The Towers]]|[[★×4>難易度表/ふつう/Walking Through The Towers]]|[[★×5>難易度表/むずかしい/Walking Through The Towers]]|[[★×7>難易度表/おに/Walking Through The Towers]]|-|
|''16/3/31&br;イベント&br;先行''((「シンクロニカ」連動キャンペーンより解禁))|''新''|''カノン (シンクロニカ Remix)''&br;　　SIZE(11){「シンクロニカ」より}|124-224※|[[★×3>難易度表/かんたん/カノン (シンクロニカ Remix)]]|[[★×5>難易度表/ふつう/カノン (シンクロニカ Remix)]]|[[★×6>難易度表/むずかしい/カノン (シンクロニカ Remix)]]|[[★×8>難易度表/おに/カノン (シンクロニカ Remix)]]|-|
|''15/12/24&br;イベント&br;先行''((「シンクロニカ」連動キャンペーンより解禁))|''新''|''New World''&br;　　SIZE(11){「シンクロニカ」より}|177※|[[★×3>難易度表/かんたん/New World]]|[[★×6>難易度表/ふつう/New World]]|[[★×7>難易度表/むずかしい/New World]]|[[★×9>難易度表/おに/New World]]|-|
|''15/12/24&br;イベント&br;先行''((「シンクロニカ」連動キャンペーンより解禁))|''新''|''Synchronicity''&br;　　SIZE(11){「シンクロニカ」より}|130|[[★×3>難易度表/かんたん/Synchronicity]]|[[★×3>難易度表/ふつう/Synchronicity]]|[[★×6>難易度表/むずかしい/Synchronicity]]|[[★×8>難易度表/おに/Synchronicity]]|-|
|''隠''|''新''|''BLAZING VORTEX''&br;　　SIZE(11){「クリティカルベロシティ」より}|173|[[★×5>難易度表/かんたん/BLAZING VORTEX]]|[[★×6>難易度表/ふつう/BLAZING VORTEX]]|[[★×7>難易度表/むずかしい/BLAZING VORTEX]]|[[★×7>難易度表/おに/BLAZING VORTEX]]|[[★×10>難易度表/おに/BLAZING VORTEX(裏譜面)]]|
|''隠''|''新''|''EAT'EM UP!''&br;　　SIZE(11){「R4 -RIDGE RACER TYPE4-」より}|152|[[★×3>難易度表/かんたん/EAT'EM UP!]]|[[★×5>難易度表/ふつう/EAT'EM UP!]]|[[★×6>難易度表/むずかしい/EAT'EM UP!]]|[[★×8>難易度表/おに/EAT'EM UP!]]|-|
||''新''|''ドラゴンボールヒーローズ''&br;　　SIZE(11){ゴッドミッションシリーズ テーマソング}|148-180|[[★×3>難易度表/かんたん/ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング]]&br;SIZE(10){(S)}|[[★×4>難易度表/ふつう/ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング]]|[[★×5>難易度表/むずかしい/ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング]]|[[★×7>難易度表/おに/ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング]]|-|
||''新''|''アイ MUST GO！''&br;　　SIZE(11){「アイドルマスター」より}|107|[[★×3>難易度表/かんたん/アイ MUST GO!]]|[[★×3>難易度表/ふつう/アイ MUST GO!]]|[[★×3>難易度表/むずかしい/アイ MUST GO!]]|[[★×8>難易度表/おに/アイ MUST GO!]]|-|
||''新''|''Dr.WILY STAGE 1''&br;　　SIZE(11){「ロックマン2 Dr.ワイリーの謎」より}|112.5-180|[[★×4>難易度表/かんたん/Dr.WILY STAGE 1]]|[[★×6>難易度表/ふつう/Dr.WILY STAGE 1]]|[[★×7>難易度表/むずかしい/Dr.WILY STAGE 1]]|[[★×8>難易度表/おに/Dr.WILY STAGE 1]]|-|
||''新''|''TO MAKE THE END OF BATTLE''&br;　　SIZE(11){「イース&#8544; & &#8545;クロニクルズ」より}|232.4|[[★×4>難易度表/かんたん/TO MAKE THE END OF BATTLE]]|[[★×5>難易度表/ふつう/TO MAKE THE END OF BATTLE]]|[[★×7>難易度表/むずかしい/TO MAKE THE END OF BATTLE]]|[[★×7>難易度表/おに/TO MAKE THE END OF BATTLE]]|-|
||''新''|''指先からはじまる物語''&br;　　SIZE(11){郁原ゆう 「しんぐんデストロ〜イ！」より}|125-190|[[★×3>難易度表/かんたん/指先からはじまる物語]]|[[★×3>難易度表/ふつう/指先からはじまる物語]]|[[★×4>難易度表/むずかしい/指先からはじまる物語]]|[[★×8>難易度表/おに/指先からはじまる物語]]|-|
|||''ワンダーモモーイ''|175|[[★×4>難易度表/かんたん/ワンダーモモーイ]]|[[★×5>難易度表/ふつう/ワンダーモモーイ]]|[[★×6>難易度表/むずかしい/ワンダーモモーイ]]|[[★×7>難易度表/おに/ワンダーモモーイ]]&br;SIZE(10){譜面分岐}|-|
|||''チェインクロニクル 通常バトルメドレー''|136-165|[[★×3>難易度表/かんたん/チェインクロニクル 通常バトルメドレー]]|[[★×5>難易度表/ふつう/チェインクロニクル 通常バトルメドレー]]|[[★×6>難易度表/むずかしい/チェインクロニクル 通常バトルメドレー]]|[[★×8>難易度表/おに/チェインクロニクル 通常バトルメドレー]]|[[★×9>難易度表/おに/チェインクロニクル 通常バトルメドレー(裏譜面)]]|
|||''チェインクロニクル 最終決戦メドレー''|136-172|[[★×4>難易度表/かんたん/チェインクロニクル 最終決戦メドレー]]|[[★×6>難易度表/ふつう/チェインクロニクル 最終決戦メドレー]]|[[★×6>難易度表/むずかしい/チェインクロニクル 最終決戦メドレー]]|[[★×8>難易度表/おに/チェインクロニクル 最終決戦メドレー]]|[[★×9>難易度表/おに/チェインクロニクル 最終決戦メドレー(裏譜面)]]|
|||''Abyss of hell''&br;　　SIZE(11){「鉄拳 レボリューション」より}|165※|[[★×5>難易度表/かんたん/Abyss of hell]]|[[★×7>難易度表/ふつう/Abyss of hell]]|[[★×8>難易度表/むずかしい/Abyss of hell]]|[[★×8>難易度表/おに/Abyss of hell]]|[[★×10>難易度表/おに/Abyss of hell(裏譜面)]]|
|''シ''||''バーニングフォースメドレー''|195|[[★×4>難易度表/かんたん/バーニングフォースメドレー]]|[[★×5>難易度表/ふつう/バーニングフォースメドレー]]|[[★×6>難易度表/むずかしい/バーニングフォースメドレー]]|[[★×8>難易度表/おに/バーニングフォースメドレー]]|-|
|BGCOLOR(#ccc):''15/12/10&br;~&br;15/12/31&br;限定''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''ドラゴンスピリットメドレー''|BGCOLOR(#ccc):175|BGCOLOR(#ccc):[[★×4>難易度表/かんたん/ドラゴンスピリットメドレー]]|BGCOLOR(#ccc):[[★×6>難易度表/ふつう/ドラゴンスピリットメドレー]]|BGCOLOR(#ccc):[[★×8>難易度表/おに/ドラゴンスピリットメドレー]]|BGCOLOR(#ccc):[[★×7>難易度表/おに/ドラゴンスピリットメドレー]]|BGCOLOR(#ccc):-|
|''シ''||''メタルホーク BGM1''|153.25|[[★×5>難易度表/かんたん/メタルホーク　BGM1]]|[[★×6>難易度表/ふつう/メタルホーク　BGM1]]|[[★×8>難易度表/むずかしい/メタルホーク　BGM1]]&br;SIZE(10){譜面分岐}|[[★×10>難易度表/おに/メタルホーク　BGM1]]&br;SIZE(10){譜面分岐}|-|
|||''おしえて　くまとも''&br;　　SIZE(11){「クマ・トモ」テーマ曲}|135|[[★×2>難易度表/かんたん/おしえて くまとも]]&br;SIZE(10){(S)}|[[★×3>難易度表/ふつう/おしえて くまとも]]|[[★×5>難易度表/むずかしい/おしえて くまとも]]|[[★×8>難易度表/おに/おしえて くまとも]]|-|
|||''Night And Day''&br;　　SIZE(11){「ACE COMBAT 2」より}|140※|[[★×4>難易度表/かんたん/Night And Day]]|[[★×6>難易度表/ふつう/Night And Day]]|[[★×8>難易度表/むずかしい/Night And Day]]|[[★×9>難易度表/おに/Night And Day]]|-|
|||''Sunset Runaway''&br;　　SIZE(11){「クリティカルベロシティ」より}|154※|[[★×4>難易度表/かんたん/Sunset Runaway]]|[[★×6>難易度表/ふつう/Sunset Runaway]]|[[★×8>難易度表/むずかしい/Sunset Runaway]]|[[★×9>難易度表/おに/Sunset Runaway]]|-|
|||''妖怪ウォッチ2 元祖／本家／真打''&br;　　SIZE(11){BGMメドレー}|97-140|[[★×2>難易度表/かんたん/妖怪ウォッチ2 元祖／本家／真打]]&br;SIZE(10){(S)}|[[★×3>難易度表/ふつう/妖怪ウォッチ2 元祖／本家／真打]]|[[★×6>難易度表/むずかしい/妖怪ウォッチ2 元祖／本家／真打]]|[[★×9>難易度表/おに/妖怪ウォッチ2 元祖／本家／真打]]|-|
|BGCOLOR(#ccc):''19/10/24&br;サ''|BGCOLOR(#ccc): |BGCOLOR(#ccc):''「ポケットモンスター オメガルビー・アルファサファイア」''&br;　　SIZE(11){チャンピオンメドレー}|BGCOLOR(#ccc): 133.64-205.46|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/「ポケットモンスター オメガルビー・アルファサファイア」]]|BGCOLOR(#ccc):[[★×5>難易度表/ふつう/「ポケットモンスター オメガルビー・アルファサファイア」]]|BGCOLOR(#ccc):[[★×7>難易度表/むずかしい/「ポケットモンスター オメガルビー・アルファサファイア」]]|BGCOLOR(#ccc):[[★×7>難易度表/おに/「ポケットモンスター オメガルビー・アルファサファイア」]]|BGCOLOR(#ccc):[[★×9>難易度表/おに/「ポケットモンスター オメガルビー・アルファサファイア」(裏譜面)]]|
|||''ドラゴンボールヒーローズ''&br;　　SIZE(11){邪悪龍ミッションシリーズ テーマソング}|89-178|[[★×2>難易度表/かんたん/ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング]]&br;SIZE(10){(S)}|[[★×3>難易度表/ふつう/ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング]]|[[★×3>難易度表/むずかしい/ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング]]|[[★×6>難易度表/おに/ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング]]|-|
|||''モンスターハンター4 メドレー''|83-145※|[[★×3>難易度表/かんたん/モンスターハンター4 メドレー]]|[[★×5>難易度表/ふつう/モンスターハンター4 メドレー]]|[[★×7>難易度表/むずかしい/モンスターハンター4 メドレー]]|[[★×8>難易度表/おに/モンスターハンター4 メドレー]]|-|
|BGCOLOR(#ccc):''18/11/21&br;サ''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''ポケットモンスター X・Y''&br;　　SIZE(11){野生ポケモン戦メドレー}|BGCOLOR(#ccc):146-170|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/ポケットモンスター X・Y 野生ポケモン戦メドレー]]|BGCOLOR(#ccc):[[★×4>難易度表/ふつう/ポケットモンスター X・Y 野生ポケモン戦メドレー]]|BGCOLOR(#ccc):[[★×6>難易度表/むずかしい/ポケットモンスター X・Y 野生ポケモン戦メドレー]]|BGCOLOR(#ccc):[[★×7>難易度表/おに/ポケットモンスター X・Y 野生ポケモン戦メドレー]]|BGCOLOR(#ccc):-|
|BGCOLOR(#ccc):''18/11/21&br;サ''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''ポケットモンスター X・Y''&br;　　SIZE(11){トレーナー戦メドレー}|BGCOLOR(#ccc):112-BGCOLOR(#ccc):180|BGCOLOR(#ccc):[[★×2>難易度表/かんたん/ポケットモンスター X・Y トレーナー戦メドレー]]|BGCOLOR(#ccc):[[★×3>難易度表/ふつう/ポケットモンスター X・Y トレーナー戦メドレー]]|BGCOLOR(#ccc):[[★×6>難易度表/むずかしい/ポケットモンスター X・Y トレーナー戦メドレー]]|BGCOLOR(#ccc):[[★×8>難易度表/おに/ポケットモンスター X・Y トレーナー戦メドレー]]|BGCOLOR(#ccc):-|
|BGCOLOR(#ccc):''17/3/15&br;サ''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''ポケットモンスターブラック2・ホワイト2''&br;　　SIZE(11){ジム戦メドレー}|BGCOLOR(#ccc):116-176|BGCOLOR(#ccc):[[★×2>難易度表/かんたん/ポケットモンスターブラック2・ホワイト2]]|BGCOLOR(#ccc):[[★×2>難易度表/ふつう/ポケットモンスターブラック2・ホワイト2]]|BGCOLOR(#ccc):[[★×6>難易度表/むずかしい/ポケットモンスターブラック2・ホワイト2]]|BGCOLOR(#ccc):[[★×8>難易度表/おに/ポケットモンスターブラック2・ホワイト2]]|BGCOLOR(#ccc):-|
|||''ドラゴンボールヒーローズ''&br;　　SIZE(11){ギャラクシーミッションシリーズ テーマソング}|165※|[[★×3>難易度表/かんたん/ドラゴンボールヒーローズ ギャラクシーミッションシリーズ テーマソング]]|[[★×3>難易度表/ふつう/ドラゴンボールヒーローズ ギャラクシーミッションシリーズ テーマソング]]|[[★×4>難易度表/むずかしい/ドラゴンボールヒーローズ ギャラクシーミッションシリーズ テーマソング]]|[[★×6>難易度表/おに/ドラゴンボールヒーローズ ギャラクシーミッションシリーズ テーマソング]]|-|
|||''スーパーマリオブラザーズ''|100-180|[[★×4>難易度表/かんたん/スーパーマリオブラザーズ(新)]]|[[★×5>難易度表/ふつう/スーパーマリオブラザーズ(新)]]|[[★×7>難易度表/むずかしい/スーパーマリオブラザーズ(新)]]|[[★×8>難易度表/おに/スーパーマリオブラザーズ(新)]]|-|
|BGCOLOR(#ccc):''16/10/13&br;サ''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''Extreme MGG★★★''&br;　　SIZE(11){「ミュージックガンガン！2」より}|BGCOLOR(#ccc):120-240|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/Extreme MGG★★★]]|BGCOLOR(#ccc):[[★×3>難易度表/ふつう/Extreme MGG★★★]]|BGCOLOR(#ccc):[[★×3>難易度表/むずかしい/Extreme MGG★★★]]|BGCOLOR(#ccc):[[★×5>難易度表/おに/Extreme MGG★★★]]|BGCOLOR(#ccc):[[★×9>難易度表/おに/Extreme MGG★★★(裏譜面)]]|
|BGCOLOR(#ccc):''16/10/13&br;サ''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''ミュージック・リボルバー''&br;　　SIZE(11){「ミュージックガンガン！2」より}|BGCOLOR(#ccc):168|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/ミュージック・リボルバー]]|BGCOLOR(#ccc):[[★×3>難易度表/ふつう/ミュージック・リボルバー]]|BGCOLOR(#ccc):[[★×3>難易度表/むずかしい/ミュージック・リボルバー]]|BGCOLOR(#ccc):[[★×4>難易度表/おに/ミュージック・リボルバー]]|BGCOLOR(#ccc):[[★×10>難易度表/おに/ミュージック・リボルバー(裏譜面)]]|
|||''くらえ！ブットバースト！！''&br;　　SIZE(11){「友情装着！ブットバースト」より}|202|[[★×2>難易度表/かんたん/くらえ！ブットバースト!!]]&br;SIZE(10){(S)}|[[★×2>難易度表/ふつう/くらえ！ブットバースト!!]]|[[★×4>難易度表/むずかしい/くらえ！ブットバースト!!]]|[[★×6>難易度表/おに/くらえ！ブットバースト!!]]|-|
|||''グレート！アニマルカイザー！！''&br;　　SIZE(11){「百獣大戦グレートアニマルカイザー」より}|172|[[★×3>難易度表/かんたん/グレート!アニマルカイザー!!]]|[[★×4>難易度表/ふつう/グレート!アニマルカイザー!!]]|[[★×6>難易度表/むずかしい/グレート!アニマルカイザー!!]]|[[★×8>難易度表/おに/グレート!アニマルカイザー!!]]|-|
|''シ''||''PaPaP''''a Love''&br;　　SIZE(11){「マッスル行進曲」より}|169|[[★×3>難易度表/かんたん/PaPaPa Love]]|[[★×5>難易度表/ふつう/PaPaPa Love]]|[[★×6>難易度表/むずかしい/PaPaPa Love]]|[[★×8>難易度表/おに/PaPaPa Love]]|-|
|||''筋肉のような僕ら 〜マッスル愛のテーマ〜''&br;　　SIZE(11){「マッスル行進曲」より}|182|[[★×4>難易度表/かんたん/筋肉のような僕ら]]|[[★×5>難易度表/ふつう/筋肉のような僕ら]]|[[★×6>難易度表/むずかしい/筋肉のような僕ら]]|[[★×8>難易度表/おに/筋肉のような僕ら]]|-|
|||''テイルズ オブ ジ アビス''&br;　　SIZE(11){The arrow was shot}|129-180※|[[★×5>難易度表/かんたん/テイルズ オブ ジ アビス]]|[[★×6>難易度表/ふつう/テイルズ オブ ジ アビス]]|[[★×7>難易度表/むずかしい/テイルズ オブ ジ アビス]]|[[★×8>難易度表/おに/テイルズ オブ ジ アビス]]|-|
|||''光る闇''&br;　　SIZE(11){テイルズ オブ ザ ワールド レーヴ ユナイティア}|160|[[★×3>難易度表/かんたん/光る闇]]|[[★×5>難易度表/ふつう/光る闇]]|[[★×5>難易度表/むずかしい/光る闇]]|[[★×8>難易度表/おに/光る闇]]|-|
|||''Wings of Tomorrow (Tatsujin Mix)''&br;　　SIZE(11){「GOD EATER 2」より}|160※|[[★×4>難易度表/かんたん/Wings of Tomorrow (Tatsujin Mix)]]|[[★×6>難易度表/ふつう/Wings of Tomorrow (Tatsujin Mix)]]|[[★×6>難易度表/むずかしい/Wings of Tomorrow (Tatsujin Mix)]]|[[★×9>難易度表/おに/Wings of Tomorrow (Tatsujin Mix)]]|-|
|||''無慈悲な王''&br;　　SIZE(11){「GOD EATER BURST」より}|150※|[[★×3>難易度表/かんたん/無慈悲な王]]|[[★×6>難易度表/ふつう/無慈悲な王]]|[[★×6>難易度表/むずかしい/無慈悲な王]]|[[★×7>難易度表/おに/無慈悲な王]]|-|
|||''No Way Back''&br;　　SIZE(11){「GOD EATER」より}|158※|[[★×4>難易度表/かんたん/No Way Back]]|[[★×6>難易度表/ふつう/No Way Back]]|[[★×7>難易度表/むずかしい/No Way Back]]|[[★×8>難易度表/おに/No Way Back]]|[[★×9>難易度表/おに/No Way Back(裏譜面)]]|
|||''The Windmill Song''&br;　　SIZE(11){「風のクロノア」より}|125|[[★×4>難易度表/かんたん/The Windmill Song]]|[[★×6>難易度表/ふつう/The Windmill Song]]|[[★×6>難易度表/むずかしい/The Windmill Song]]|[[★×8>難易度表/おに/The Windmill Song]]|-|
|BGCOLOR(#ccc):''17/3/15&br;サ''|BGCOLOR(#ccc):|BGCOLOR(#ccc):''ピコピコ マッピー''&br;　　SIZE(11){マッピーメドレー × サカモト教授}|BGCOLOR(#ccc):124|BGCOLOR(#ccc):[[★×4>難易度表/かんたん/ピコピコ マッピー]]|BGCOLOR(#ccc):[[★×6>難易度表/ふつう/ピコピコ マッピー]]|BGCOLOR(#ccc):[[★×7>難易度表/むずかしい/ピコピコ マッピー]]|BGCOLOR(#ccc):[[★×8>難易度表/おに/ピコピコ マッピー]]|BGCOLOR(#ccc):-|
|''シ''||''ナックルヘッズ''&br;　　SIZE(11){鷹舞狼吼}|138|[[★×4>難易度表/かんたん/ナックルヘッズ 鷹舞狼吼]]|[[★×5>難易度表/ふつう/ナックルヘッズ 鷹舞狼吼]]|[[★×7>難易度表/むずかしい/ナックルヘッズ 鷹舞狼吼]]|[[★×8>難易度表/おに/ナックルヘッズ 鷹舞狼吼]]|-|
|||''Pastel Sealane''&br;　　SIZE(11){「ブレイザー」より}|142|[[★×5>難易度表/かんたん/Pastel Sealane]]|[[★×7>難易度表/ふつう/Pastel Sealane]]|[[★×8>難易度表/むずかしい/Pastel Sealane]]|[[★×9>難易度表/おに/Pastel Sealane]]|-|
|||''アサルト BGM1''|115|[[★×3>難易度表/かんたん/アサルト BGM1]]|[[★×5>難易度表/ふつう/アサルト BGM1]]|[[★×6>難易度表/むずかしい/アサルト BGM1]]|[[★×8>難易度表/おに/アサルト BGM1]]|-|
|||''戦え！T3防衛隊 〜GDI mix〜''&br;　　SIZE(11){「TANK! TANK! TANK!」より}|142|[[★×4>難易度表/かんたん/戦え！T3防衛隊 〜GDI mix〜]]|[[★×4>難易度表/ふつう/戦え！T3防衛隊 〜GDI mix〜]]|[[★×7>難易度表/むずかしい/戦え！T3防衛隊 〜GDI mix〜]]|[[★×8>難易度表/おに/戦え！T3防衛隊 〜GDI mix〜]]|-|
|||''Doom Noiz''&br;　　SIZE(11){「ギャラガレギオンズ」より}|160※|[[★×5>難易度表/かんたん/Doom Noiz]]|[[★×6>難易度表/ふつう/Doom Noiz]]|[[★×8>難易度表/むずかしい/Doom Noiz]]|[[★×10>難易度表/おに/Doom Noiz]]|-|
|||''IN THE ZONE''&br;　　SIZE(11){「ACE COMBAT X2 JOINT ASSAULT」より}|172※|[[★×4>難易度表/かんたん/IN THE ZONE]]|[[★×6>難易度表/ふつう/IN THE ZONE]]|[[★×8>難易度表/むずかしい/IN THE ZONE]]|[[★×9>難易度表/おに/IN THE ZONE]]|-|
|||''ソウルキャリバー&#8545;''&br;　　SIZE(11){Brave Sword, Braver Soul}|150※|[[★×3>難易度表/かんたん/ソウルキャリバーII]]|[[★×5>難易度表/ふつう/ソウルキャリバーII]]|[[★×5>難易度表/むずかしい/ソウルキャリバーII]]|[[★×7>難易度表/おに/ソウルキャリバーII]]|[[★×7>難易度表/おに/ソウルキャリバーII]]|
|||''Angel Halo''&br;　　SIZE(11){「リッジレーサー3D」より}|224|[[★×5>難易度表/かんたん/Angel Halo]]|[[★×7>難易度表/ふつう/Angel Halo]]|[[★×8>難易度表/むずかしい/Angel Halo]]|[[★×10>難易度表/おに/Angel Halo]]|-|
|||''Venomous''&br;　　SIZE(11){「リッジレーサー3D」より}|224※|[[★×5>難易度表/かんたん/Venomous]]|[[★×6>難易度表/ふつう/Venomous]]|[[★×7>難易度表/むずかしい/Venomous]]|[[★×9>難易度表/おに/Venomous]]|[[★×10>難易度表/おに/Venomous(裏譜面)]]|
|||''BLUE TOPAZ''&br;　　SIZE(11){「レイブレーサー」より}|130.6※|[[★×4>難易度表/かんたん/BLUE TOPAZ]]|[[★×5>難易度表/ふつう/BLUE TOPAZ]]|[[★×7>難易度表/むずかしい/BLUE TOPAZ]]|[[★×8>難易度表/おに/BLUE TOPAZ]]&br;SIZE(10){譜面分岐}|-|
|''シ''||''URBAN FRAGMENTS''&br;　　SIZE(11){「R4 -RIDGE RACER TYPE4-」より}|144※|[[★×4>難易度表/かんたん/URBAN FRAGMENTS]]|[[★×4>難易度表/ふつう/URBAN FRAGMENTS]]|[[★×6>難易度表/むずかしい/URBAN FRAGMENTS]]|[[★×8>難易度表/おに/URBAN FRAGMENTS]]&br;SIZE(10){譜面分岐}|-|
|||''Kamikaze Remix''&br;　　SIZE(11){「RIDGE RACERS 2」より}|158※|[[★×3>難易度表/かんたん/Kamikaze Remix]]|[[★×6>難易度表/ふつう/Kamikaze Remix]]|[[★×8>難易度表/むずかしい/Kamikaze Remix]]|[[★×10>難易度表/おに/Kamikaze Remix]]|-|
|||''Ridge Racer''|140※|[[★×4>難易度表/かんたん/Ridge Racer]]|[[★×7>難易度表/ふつう/Ridge Racer]]|[[★×8>難易度表/おに/Ridge Racer]]|[[★×8>難易度表/おに/Ridge Racer]]|[[★×9>難易度表/おに/Ridge Racer(裏譜面)]]|
|||''RAGE v. self''|144|[[★×3>難易度表/かんたん/RAGE v. self]]|[[★×4>難易度表/ふつう/RAGE v. self]]|[[★×6>難易度表/むずかしい/RAGE v. self]]|[[★×8>難易度表/おに/RAGE v. self]]|-|
|||''Highschool love!''&br;　　SIZE(11){「鉄拳タッグトーナメント2 Wii U EDITION」より}|138|[[★×3>難易度表/かんたん/Highschool love!]]|[[★×4>難易度表/ふつう/Highschool love!]]|[[★×6>難易度表/むずかしい/Highschool love!]]|[[★×7>難易度表/おに/Highschool love!]]|-|
